month,day,TIME,TOTAL_FP_IDEX,DSP_CNT_IDEX,clustering,score
3,16,1,-0.46561569845642503,0.10101010101010102,16,1
5,17,4,-0.4655451415198746,0.08064516129032258,16,1
7,19,0,-0.46551035197398105,0.06329113924050633,16,1
5,6,2,-0.4654442232932193,0.10526315789473684,16,1
5,1,6,-0.465330187347761,0.06369426751592357,16,1
10,3,4,-0.46509630594935075,0.06535947712418301,16,1
10,15,0,-0.4650152842841325,0.18018018018018017,13,3
10,2,2,-0.4650024175669193,0.11834319526627218,16,1
4,26,4,-0.46468334573342435,0.16129032258064516,13,3
4,5,1,-0.46359457652827,0.3418803418803419,7,7
4,4,3,-0.46315427496500783,0.10101010101010102,16,1
10,9,3,-0.4631106914224663,0.17094017094017094,13,3
1,6,2,-0.4631075516766262,0.10526315789473684,16,1
3,16,5,-0.4630822225373513,0.18181818181818182,13,3
5,6,1,-0.46301812351832655,0.19417475728155337,13,3
8,2,1,-0.46292324651887934,0.38461538461538464,7,7
8,2,6,-0.4628217885458281,0.060240963855421686,16,1
6,1,5,-0.46269283482009343,0.09174311926605505,16,1
4,12,3,-0.4624173367344441,0.15748031496062992,13,3
9,2,0,-0.4617024459653243,0.10101010101010102,16,1
3,19,5,-0.4615371243999712,0.1834862385321101,13,3
4,26,5,-0.4614969668484366,0.08333333333333333,16,1
3,8,0,-0.4613085758197587,0.18867924528301885,13,3
5,5,3,-0.46097357869572125,0.09433962264150943,16,1
4,7,1,-0.4605474953262421,0.11363636363636365,16,1
8,1,0,-0.4600133563525416,0.14705882352941177,13,3
3,15,0,-0.4599496320483276,0.2654867256637168,13,3
9,3,1,-0.4599041225344235,0.09900990099009901,16,1
3,15,3,-0.45981010298937774,0.34782608695652173,7,7
9,14,0,-0.45975475394273796,0.20202020202020204,13,3
10,18,4,-0.45973763662797607,0.07092198581560283,16,1
4,12,0,-0.4593557769209801,0.25,13,3
10,18,5,-0.4592352158092677,0.13513513513513514,16,1
3,2,0,-0.4590279708576339,0.25,13,3
7,4,4,-0.4587062545479468,0.1639344262295082,13,3
9,13,4,-0.45868919795390123,0.15503875968992248,13,3
5,6,4,-0.45854397126917,0.30612244897959184,7,7
3,17,5,-0.45824220984548814,0.18691588785046728,13,3
9,7,1,-0.4578210700026158,0.09615384615384616,16,1
2,18,0,-0.4575374405999628,0.09900990099009901,16,1
3,10,1,-0.45749735372235956,0.11235955056179775,16,1
5,29,4,-0.4571009083761638,0.08849557522123894,16,1
3,7,5,-0.4570517505284003,0.09090909090909091,16,1
11,24,0,-0.4565044310770287,0.18018018018018017,13,3
3,3,1,-0.45643224015114847,0.2127659574468085,13,3
11,9,2,-0.4561503649386419,0.17543859649122806,13,3
4,15,3,-0.45608499014927384,0.10101010101010102,16,1
5,11,4,-0.45545246698237946,0.20618556701030927,13,3
1,1,4,-0.45523343506179936,0.25862068965517243,13,3
9,5,5,-0.45471552431821904,0.1694915254237288,13,3
2,15,4,-0.45449624365042585,0.08333333333333333,16,1
5,16,5,-0.45434108330760337,0.08403361344537814,16,1
5,25,5,-0.4541434177268834,0.08620689655172414,16,1
10,8,2,-0.4540291496851854,0.20202020202020204,13,3
8,6,3,-0.45384802142128156,0.1904761904761905,13,3
11,8,1,-0.45348810431714537,0.13333333333333333,16,1
7,5,2,-0.4533480450606213,0.072992700729927,16,1
4,14,1,-0.4531866648145139,0.19607843137254902,13,3
3,21,2,-0.45318351729651324,0.09615384615384616,16,1
4,20,4,-0.4530474877847661,0.10101010101010102,16,1
3,14,0,-0.45300004491476975,0.2,13,3
11,7,4,-0.4528696149506386,0.08695652173913043,16,1
5,5,2,-0.4526479923562114,0.09009009009009009,16,1
3,24,4,-0.452390595990837,0.19801980198019803,13,3
11,1,1,-0.4520699484926443,0.06711409395973154,16,1
8,2,2,-0.4512382265645784,0.13605442176870747,16,1
4,12,4,-0.45106828183114284,0.07936507936507936,16,1
4,16,3,-0.45104363544072346,0.1,16,1
7,12,0,-0.4507793931588067,0.2684563758389262,13,3
10,9,2,-0.4506958533414937,0.4629629629629629,7,7
7,5,3,-0.4505255381428142,0.07194244604316546,16,1
10,12,0,-0.4502560528838217,0.5,7,7
8,28,0,-0.44988444320854126,0.09803921568627451,16,1
5,12,4,-0.44940271644617585,0.18181818181818182,13,3
4,11,4,-0.4489726147432368,0.18691588785046728,13,3
11,5,0,-0.4486101247756264,0.09523809523809525,16,1
1,1,3,-0.4483861543131265,0.1652892561983471,13,3
12,5,0,-0.44811744070649306,0.08547008547008547,16,1
5,18,4,-0.4480552721312038,0.17391304347826086,13,3
5,19,4,-0.4479356411481267,0.19607843137254902,13,3
5,18,0,-0.4478741161138927,0.19230769230769232,13,3
1,3,0,-0.44744543936759434,0.1020408163265306,16,1
2,14,0,-0.4470028913734139,0.1834862385321101,13,3
9,10,0,-0.44681239244046006,0.30927835051546393,7,7
5,10,4,-0.4466441672108741,0.1680672268907563,13,3
8,1,5,-0.4466429828687979,0.07633587786259542,16,1
10,15,4,-0.44648578838236447,0.08849557522123894,16,1
5,1,1,-0.44607776516773356,0.06711409395973154,16,1
5,22,4,-0.4460426301658113,0.19801980198019803,13,3
5,17,2,-0.44601813633053267,0.4032258064516129,7,7
